,lang_label
692,__label__en
693,__label__en
694,__label__en
695,__label__en
696,__label__en
697,__label__en
698,__label__en
699,__label__en
700,__label__en
701,__label__en
702,__label__en
703,__label__en
704,__label__en
705,__label__en
706,__label__en
707,__label__en
708,__label__en
709,__label__en
710,__label__en
711,__label__en
712,__label__en
713,__label__en
714,__label__en
715,__label__en
716,__label__en
717,__label__en
718,__label__en
719,__label__en
720,__label__en
721,__label__en
722,__label__en
723,__label__en
724,__label__en
725,__label__en
726,__label__en
727,__label__en
728,__label__en
729,__label__en
730,__label__en
731,__label__en
732,__label__fr
733,__label__en
734,__label__en
735,__label__en
736,__label__en
737,__label__en
738,__label__en
739,__label__en
740,__label__en
741,__label__en
742,__label__en
743,__label__en
744,__label__fr
745,__label__en
746,__label__en
747,__label__en
748,__label__en
749,__label__en
750,__label__en
751,__label__en
752,__label__en
753,__label__en
754,__label__en
755,__label__en
756,__label__en
757,__label__en
758,__label__en
759,__label__en
760,__label__en
761,__label__en
762,__label__en
763,__label__en
764,__label__en
765,__label__en
766,__label__en
767,__label__en
768,__label__en
769,__label__en
770,__label__en
771,__label__en
772,__label__en
773,__label__en
774,__label__en
775,__label__en
776,__label__en
777,__label__en
778,__label__en
779,__label__en
780,__label__en
781,__label__en
782,__label__en
783,__label__en
784,__label__en
785,__label__en
786,__label__en
787,__label__en
788,__label__en
789,__label__en
790,__label__en
791,__label__en
792,__label__en
793,__label__en
794,__label__en
795,__label__en
796,__label__en
797,__label__en
798,__label__en
799,__label__en
800,__label__en
801,__label__en
802,__label__en
803,__label__en
804,__label__en
805,__label__en
806,__label__en
807,__label__en
808,__label__en
809,__label__en
810,__label__en
811,__label__en
812,__label__en
813,__label__en
814,__label__en
815,__label__en
816,__label__en
817,__label__en
818,__label__en
819,__label__en
820,__label__en
821,__label__en
822,__label__en
823,__label__en
824,__label__en
825,__label__en
826,__label__en
827,__label__en
828,__label__en
829,__label__en
830,__label__en
831,__label__en
832,__label__en
833,__label__en
834,__label__en
835,__label__en
836,__label__en
837,__label__en
838,__label__en
839,__label__en
840,__label__en
841,__label__en
842,__label__en
843,__label__en
844,__label__en
845,__label__en
846,__label__en
847,__label__en
848,__label__en
849,__label__en
850,__label__en
851,__label__en
852,__label__en
853,__label__en
854,__label__en
855,__label__en
856,__label__en
857,__label__en
858,__label__en
859,__label__en
860,__label__en
861,__label__en
862,__label__en
863,__label__en
864,__label__en
865,__label__en
866,__label__en
867,__label__en
868,__label__en
869,__label__en
870,__label__en
871,__label__en
872,__label__en
873,__label__en
874,__label__en
875,__label__en
876,__label__en
877,__label__en
878,__label__en
879,__label__en
880,__label__en
881,__label__en
882,__label__en
883,__label__en
884,__label__en
885,__label__en
886,__label__en
887,__label__en
888,__label__en
889,__label__en
890,__label__en
891,__label__en
892,__label__en
893,__label__en
894,__label__en
895,__label__en
896,__label__en
897,__label__en
898,__label__en
899,__label__en
900,__label__en
901,__label__en
902,__label__en
903,__label__en
904,__label__en
905,__label__en
906,__label__en
907,__label__en
908,__label__en
909,__label__en
910,__label__en
911,__label__en
912,__label__en
913,__label__en
914,__label__en
915,__label__en
916,__label__en
917,__label__en
918,__label__en
919,__label__en
920,__label__en
921,__label__en
922,__label__en
923,__label__en
924,__label__en
925,__label__en
926,__label__en
927,__label__en
928,__label__en
929,__label__en
930,__label__en
931,__label__en
932,__label__en
933,__label__en
934,__label__en
935,__label__en
936,__label__en
937,__label__en
938,__label__en
939,__label__en
940,__label__en
941,__label__en
942,__label__fr
943,__label__en
944,__label__en
945,__label__en
946,__label__en
947,__label__en
948,__label__en
949,__label__en
950,__label__en
951,__label__en
952,__label__en
953,__label__en
954,__label__en
955,__label__en
956,__label__en
957,__label__en
958,__label__en
959,__label__en
960,__label__en
961,__label__en
962,__label__en
963,__label__en
964,__label__it
965,__label__en
966,__label__en
967,__label__en
968,__label__en
969,__label__en
970,__label__de
971,__label__en
972,__label__en
973,__label__en
974,__label__fr
975,__label__zh
976,__label__en
977,__label__en
978,__label__en
979,__label__en
980,__label__en
981,__label__en
982,__label__es
983,__label__en
984,__label__en
985,__label__it
986,__label__en
987,__label__en
988,__label__en
989,__label__en
990,__label__en
991,__label__en
992,__label__en
993,__label__en
994,__label__en
995,__label__en
996,__label__en
997,__label__fr
998,__label__en
999,__label__en
1000,__label__fr
1001,__label__fr
1002,__label__fr
1003,__label__en
1004,__label__en
1005,__label__en
1006,__label__en
1007,__label__en
1008,__label__en
1009,__label__en
1010,__label__fr
1011,__label__en
1012,__label__en
1013,__label__en
1014,__label__en
1015,__label__en
1016,__label__en
1017,__label__en
1018,__label__en
1019,__label__en
1020,__label__de
1021,__label__es
1022,__label__en
1023,__label__nl
1024,__label__en
1025,__label__en
1026,__label__en
1027,__label__en
1028,__label__fr
1029,__label__en
1030,__label__en
1031,__label__en
1032,__label__it
1033,__label__es
1034,__label__en
1035,__label__en
1036,__label__en
1037,__label__en
1038,__label__en
1039,__label__en
1040,__label__en
1041,__label__en
1042,__label__en
1043,__label__en
1044,__label__en
1045,__label__en
1046,__label__en
1047,__label__en
1048,__label__en
1049,__label__en
1050,__label__en
1051,__label__es
1052,__label__en
1053,__label__en
1054,__label__en
1055,__label__en
1056,__label__en
1057,__label__en
1058,__label__en
1059,__label__en
1060,__label__en
1061,__label__en
1062,__label__en
1063,__label__en
1064,__label__en
1065,__label__en
1066,__label__en
1067,__label__en
1068,__label__en
1069,__label__en
1070,__label__en
1071,__label__en
1072,__label__en
1073,__label__en
1074,__label__es
1075,__label__en
1076,__label__en
1077,__label__en
1078,__label__de
1079,__label__en
1080,__label__es
1081,__label__en
1082,__label__en
1083,__label__en
1084,__label__en
1085,__label__en
1086,__label__en
1087,__label__en
1088,__label__zh
1089,__label__en
1090,__label__en
1091,__label__en
1092,__label__en
1093,__label__zh
1094,__label__en
1095,__label__en
1096,__label__en
1097,__label__en
1098,__label__en
1099,__label__en
1100,__label__en
1101,__label__en
1102,__label__en
1103,__label__en
1104,__label__en
1105,__label__en
1106,__label__en
1107,__label__en
1108,__label__en
1109,__label__en
1110,__label__en
1111,__label__en
1112,__label__en
1113,__label__en
1114,__label__en
1115,__label__en
1116,__label__en
1117,__label__en
1118,__label__en
1119,__label__en
1120,__label__en
1121,__label__en
1122,__label__en
1123,__label__en
1124,__label__en
1125,__label__en
1126,__label__en
1127,__label__en
1128,__label__en
1129,__label__en
1130,__label__en
1131,__label__en
1132,__label__en
1133,__label__en
1134,__label__en
1135,__label__en
1136,__label__en
1137,__label__en
1138,__label__en
1139,__label__en
1140,__label__en
1141,__label__en
1142,__label__en
1143,__label__en
1144,__label__en
1145,__label__en
1146,__label__en
1147,__label__en
1148,__label__en
1149,__label__en
1150,__label__en
1151,__label__en
1152,__label__en
1153,__label__en
1154,__label__en
1155,__label__en
1156,__label__en
1157,__label__en
1158,__label__en
1159,__label__en
1160,__label__en
1161,__label__en
1162,__label__en
1163,__label__en
1164,__label__en
1165,__label__en
1166,__label__en
1167,__label__en
1168,__label__en
1169,__label__en
1170,__label__en
1171,__label__en
1172,__label__en
1173,__label__en
1174,__label__en
1175,__label__en
1176,__label__en
1177,__label__en
1178,__label__en
1179,__label__en
1180,__label__en
1181,__label__en
1182,__label__en
1183,__label__en
1184,__label__en
1185,__label__en
1186,__label__en
1187,__label__en
1188,__label__en
1189,__label__en
1190,__label__en
1191,__label__en
1192,__label__en
1193,__label__en
1194,__label__en
1195,__label__en
1196,__label__en
1197,__label__en
1198,__label__en
1199,__label__en
1200,__label__en
1201,__label__en
1202,__label__en
1203,__label__en
1204,__label__en
1205,__label__en
1206,__label__en
1207,__label__en
1208,__label__en
1209,__label__en
1210,__label__en
1211,__label__en
1212,__label__en
1213,__label__en
1214,__label__en
1215,__label__en
1216,__label__en
1217,__label__en
1218,__label__en
1219,__label__en
1220,__label__en
1221,__label__en
1222,__label__en
1223,__label__en
1224,__label__en
1225,__label__en
1226,__label__en
1227,__label__en
1228,__label__en
1229,__label__en
1230,__label__en
1231,__label__en
1232,__label__en
1233,__label__en
1234,__label__en
1235,__label__en
1236,__label__en
1237,__label__en
1238,__label__en
1239,__label__en
1240,__label__en
1241,__label__en
1242,__label__es
1243,__label__en
1244,__label__en
1245,__label__en
1246,__label__en
1247,__label__en
1248,__label__en
1249,__label__en
1250,__label__en
1251,__label__en
1252,__label__en
1253,__label__en
1254,__label__en
1255,__label__en
1256,__label__en
1257,__label__en
1258,__label__en
1259,__label__en
1260,__label__en
1261,__label__en
1262,__label__en
1263,__label__en
1264,__label__en
1265,__label__en
1266,__label__en
1267,__label__en
1268,__label__en
1269,__label__en
1270,__label__en
1271,__label__en
1272,__label__en
1273,__label__en
1274,__label__en
1275,__label__en
1276,__label__en
1277,__label__en
1278,__label__en
1279,__label__en
1280,__label__en
1281,__label__en
1282,__label__en
1283,__label__en
1284,__label__en
1285,__label__en
1286,__label__en
1287,__label__en
1288,__label__en
1289,__label__en
1290,__label__en
1291,__label__en
1292,__label__en
1293,__label__en
1294,__label__en
1295,__label__en
1296,__label__en
1297,__label__en
1298,__label__en
1299,__label__en
1300,__label__en
1301,__label__en
1302,__label__en
1303,__label__en
1304,__label__en
1305,__label__en
1306,__label__en
1307,__label__en
1308,__label__en
1309,__label__en
1310,__label__en
1311,__label__en
1312,__label__en
1313,__label__en
1314,__label__en
1315,__label__en
1316,__label__en
1317,__label__en
1318,__label__en
1319,__label__en
1320,__label__en
1321,__label__en
1322,__label__en
1323,__label__ja
1324,__label__en
1325,__label__en
1326,__label__en
1327,__label__en
1328,__label__en
1329,__label__en
1330,__label__en
1331,__label__en
1332,__label__en
1333,__label__en
1334,__label__en
1335,__label__en
1336,__label__nl
1337,__label__en
1338,__label__en
1339,__label__en
1340,__label__en
1341,__label__en
1342,__label__en
1343,__label__en
1344,__label__en
1345,__label__en
1346,__label__en
1347,__label__en
1348,__label__en
1349,__label__en
1350,__label__en
1351,__label__en
1352,__label__en
1353,__label__en
1354,__label__en
1355,__label__en
1356,__label__en
1357,__label__en
1358,__label__en
1359,__label__en
1360,__label__en
1361,__label__en
1362,__label__en
1363,__label__en
1364,__label__en
1365,__label__en
1366,__label__en
1367,__label__en
1368,__label__en
1369,__label__en
1370,__label__en
1371,__label__en
1372,__label__en
1373,__label__en
1374,__label__en
1375,__label__en
1376,__label__en
1377,__label__en
1378,__label__en
1379,__label__en
1380,__label__en
1381,__label__en
1382,__label__en
1383,__label__en
1384,__label__en
1385,__label__en
1386,__label__en
1387,__label__en
1388,__label__en
1389,__label__en
1390,__label__en
1391,__label__en
1392,__label__en
1393,__label__en
1394,__label__en
1395,__label__en
1396,__label__en
1397,__label__en
1398,__label__en
1399,__label__en
1400,__label__en
1401,__label__en
1402,__label__en
1403,__label__en
1404,__label__en
1405,__label__en
1406,__label__en
1407,__label__en
1408,__label__en
1409,__label__en
1410,__label__en
1411,__label__en
1412,__label__en
1413,__label__en
1414,__label__en
1415,__label__en
1416,__label__en
1417,__label__en
1418,__label__en
1419,__label__en
1420,__label__en
1421,__label__en
1422,__label__en
1423,__label__en
1424,__label__en
1425,__label__en
1426,__label__en
1427,__label__en
1428,__label__en
1429,__label__en
1430,__label__en
1431,__label__en
1432,__label__en
1433,__label__en
1434,__label__pt
1435,__label__en
1436,__label__en
1437,__label__en
1438,__label__en
1439,__label__en
1440,__label__en
1441,__label__en
1442,__label__en
1443,__label__en
1444,__label__en
1445,__label__en
1446,__label__en
1447,__label__en
1448,__label__en
1449,__label__en
1450,__label__en
1451,__label__en
1452,__label__en
1453,__label__en
1454,__label__en
1455,__label__en
1456,__label__en
1457,__label__en
1458,__label__en
1459,__label__en
1460,__label__en
1461,__label__en
1462,__label__en
1463,__label__en
1464,__label__en
1465,__label__en
1466,__label__en
1467,__label__en
1468,__label__en
1469,__label__en
1470,__label__en
1471,__label__en
1472,__label__en
1473,__label__en
1474,__label__en
1475,__label__en
1476,__label__en
1477,__label__en
1478,__label__en
1479,__label__en
1480,__label__en
1481,__label__en
1482,__label__en
1483,__label__en
1484,__label__en
1485,__label__en
1486,__label__en
1487,__label__en
1488,__label__en
1489,__label__en
1490,__label__en
1491,__label__en
1492,__label__en
1493,__label__en
1494,__label__en
1495,__label__en
1496,__label__en
1497,__label__en
1498,__label__en
1499,__label__en
1500,__label__en
1501,__label__en
1502,__label__en
1503,__label__en
1504,__label__en
1505,__label__en
1506,__label__en
1507,__label__en
1508,__label__en
1509,__label__en
1510,__label__en
1511,__label__en
1512,__label__en
1513,__label__en
1514,__label__en
1515,__label__en
1516,__label__en
1517,__label__en
1518,__label__en
1519,__label__en
1520,__label__en
1521,__label__en
1522,__label__en
1523,__label__en
1524,__label__en
1525,__label__en
1526,__label__en
1527,__label__en
1528,__label__fr
1529,__label__en
1530,__label__en
1531,__label__en
1532,__label__en
1533,__label__en
1534,__label__en
1535,__label__en
1536,__label__en
1537,__label__en
1538,__label__en
1539,__label__en
1540,__label__en
1541,__label__en
1542,__label__en
1543,__label__en
1544,__label__en
1545,__label__en
1546,__label__en
1547,__label__en
1548,__label__en
1549,__label__en
1550,__label__en
1551,__label__en
1552,__label__en
1553,__label__en
1554,__label__es
1555,__label__en
1556,__label__en
1557,__label__en
1558,__label__en
1559,__label__en
1560,__label__en
1561,__label__en
1562,__label__en
1563,__label__en
1564,__label__en
1565,__label__en
1566,__label__en
1567,__label__en
1568,__label__en
1569,__label__en
1570,__label__en
1571,__label__en
1572,__label__en
1573,__label__en
1574,__label__en
1575,__label__en
1576,__label__en
1577,__label__es
1578,__label__en
1579,__label__en
1580,__label__en
1581,__label__en
1582,__label__en
1583,__label__en
1584,__label__en
1585,__label__en
1586,__label__en
1587,__label__en
1588,__label__en
1589,__label__en
1590,__label__en
1591,__label__en
1592,__label__en
1593,__label__en
1594,__label__en
1595,__label__en
1596,__label__en
1597,__label__en
1598,__label__en
1599,__label__en
1600,__label__en
1601,__label__en
1602,__label__en
1603,__label__en
1604,__label__en
1605,__label__en
1606,__label__en
1607,__label__en
1608,__label__it
1609,__label__en
1610,__label__en
1611,__label__en
1612,__label__en
1613,__label__es
1614,__label__en
1615,__label__en
1616,__label__en
1617,__label__en
1618,__label__en
1619,__label__en
1620,__label__en
1621,__label__en
1622,__label__en
1623,__label__en
1624,__label__en
1625,__label__en
1626,__label__en
1627,__label__en
1628,__label__en
1629,__label__en
1630,__label__en
1631,__label__en
1632,__label__en
1633,__label__en
1634,__label__en
1635,__label__en
1636,__label__en
1637,__label__en
1638,__label__en
1639,__label__en
1640,__label__en
1641,__label__en
1642,__label__it
1643,__label__en
1644,__label__en
1645,__label__en
1646,__label__en
1647,__label__en
1648,__label__en
1649,__label__en
1650,__label__en
1651,__label__en
1652,__label__en
1653,__label__en
1654,__label__en
1655,__label__en
1656,__label__en
1657,__label__en
1658,__label__en
1659,__label__en
1660,__label__en
1661,__label__en
1662,__label__en
1663,__label__en
1664,__label__en
1665,__label__en
1666,__label__en
1667,__label__en
1668,__label__en
1669,__label__en
1670,__label__en
1671,__label__en
1672,__label__en
1673,__label__en
1674,__label__en
1675,__label__en
1676,__label__en
1677,__label__en
1678,__label__en
1679,__label__en
1680,__label__en
1681,__label__en
1682,__label__en
1683,__label__en
1684,__label__en
1685,__label__en
1686,__label__en
1687,__label__en
1688,__label__en
1689,__label__en
1690,__label__en
1691,__label__en
1692,__label__en
1693,__label__de
1694,__label__es
1695,__label__en
1696,__label__en
1697,__label__en
1698,__label__en
1699,__label__fr
1700,__label__en
1701,__label__en
1702,__label__es
1703,__label__en
1704,__label__en
1705,__label__en
1706,__label__en
1707,__label__en
1708,__label__en
1709,__label__en
1710,__label__en
1711,__label__en
1712,__label__en
1713,__label__en
1714,__label__es
1715,__label__en
1716,__label__en
1717,__label__en
1718,__label__en
1719,__label__en
1720,__label__en
1721,__label__fr
1722,__label__en
1723,__label__en
1724,__label__en
1725,__label__ca
1726,__label__en
1727,__label__en
1728,__label__en
1729,__label__pt
1730,__label__fr
1731,__label__en
1732,__label__en
1733,__label__en
1734,__label__en
1735,__label__en
1736,__label__en
1737,__label__es
1738,__label__en
1739,__label__en
1740,__label__en
1741,__label__en
1742,__label__en
1743,__label__en
1744,__label__en
1745,__label__en
1746,__label__en
1747,__label__en
1748,__label__en
1749,__label__en
1750,__label__en
1751,__label__en
1752,__label__en
1753,__label__en
1754,__label__en
1755,__label__en
1756,__label__en
1757,__label__en
1758,__label__en
1759,__label__en
1760,__label__en
1761,__label__en
1762,__label__en
1763,__label__en
1764,__label__en
1765,__label__en
1766,__label__en
1767,__label__en
1768,__label__en
1769,__label__en
1770,__label__en
1771,__label__en
1772,__label__en
1773,__label__en
1774,__label__en
1775,__label__en
1776,__label__en
1777,__label__en
1778,__label__en
1779,__label__en
1780,__label__en
1781,__label__en
1782,__label__en
1783,__label__en
1784,__label__en
1785,__label__en
1786,__label__en
1787,__label__en
1788,__label__en
1789,__label__en
1790,__label__fr
1791,__label__en
1792,__label__en
1793,__label__fr
1794,__label__en
1795,__label__en
1796,__label__en
1797,__label__en
1798,__label__en
1799,__label__es
1800,__label__en
1801,__label__en
1802,__label__en
1803,__label__en
1804,__label__en
1805,__label__en
1806,__label__en
1807,__label__en
1808,__label__en
1809,__label__en
1810,__label__en
1811,__label__en
1812,__label__en
1813,__label__en
1814,__label__en
1815,__label__en
1816,__label__en
1817,__label__en
1818,__label__en
1819,__label__en
1820,__label__ko
1821,__label__en
1822,__label__it
1823,__label__en
1824,__label__en
1825,__label__en
1826,__label__en
1827,__label__en
1828,__label__en
1829,__label__en
1830,__label__en
1831,__label__en
1832,__label__en
1833,__label__en
1834,__label__en
1835,__label__en
1836,__label__en
1837,__label__en
1838,__label__en
1839,__label__en
1840,__label__en
1841,__label__en
1842,__label__zh
1843,__label__en
1844,__label__en
1845,__label__en
1846,__label__en
1847,__label__en
1848,__label__en
1849,__label__en
1850,__label__en
1851,__label__en
1852,__label__en
1853,__label__en
1854,__label__en
1855,__label__en
1856,__label__en
1857,__label__en
1858,__label__en
1859,__label__en
1860,__label__en
1861,__label__en
1862,__label__en
1863,__label__en
1864,__label__en
1865,__label__en
1866,__label__en
1867,__label__en
